Restriction Id,Restriction Type,Operational Goal,Enabled,Externally Available,Validity WEF,Validity TIL,During,Days of Week,Start Time,End Time
EDEEDS500E,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS EDMMFRAS,Y,Y,23/03/2023,11/12/2036,Y,----5--,0000,0300
EDEEDS500E,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS EDMMFRAS,Y,Y,23/03/2023,11/12/2036,Y,---4---,0000,0300
EDEEDS500E,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS EDMMFRAS,Y,Y,23/03/2023,11/12/2036,Y,--3----,0000,0300
EDEEDS500E,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS EDMMFRAS,Y,Y,23/03/2023,11/12/2036,Y,------7,0000,0400
EDEEDS500E,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS EDMMFRAS,Y,Y,23/03/2023,11/12/2036,Y,------7,2230,0000
EDEEDS500E,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS EDMMFRAS,Y,Y,23/03/2023,11/12/2036,Y,--3----,0000,0400
EDEEDS500F,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAS TO RAS EDUUFRAE,Y,Y,01/12/2022,11/12/2036,Y,------7,2130,0000
EDLOLJ501A,M,CROSS BORDER FRA LIMITATION FROM RAS EDDCT1 TO RAS SECSI BETWEEN FLS GND-245,Y,Y,05/10/2023,11/12/2036,Y,1------,0300,2130
EDMDME500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAS TO RAS EDMMFRAE,Y,Y,01/12/2022,11/12/2036,Y,---4---,0000,0300
EDMDMS500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO RAS EDMMFRAS,Y,Y,10/08/2023,11/12/2036,Y,-2-----,2130,0000
EDMDMS500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO RAS EDMMFRAS,Y,Y,10/08/2023,11/12/2036,Y,1------,0000,0400
EDMDUN500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO RAS EDUUFRAN,Y,Y,23/02/2023,11/12/2036,Y,---4---,2130,0000
EDMDUN500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO RAS EDUUFRAN,Y,Y,23/02/2023,11/12/2036,Y,--3----,0000,0300
EDMDUN500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO RAS EDUUFRAN,Y,Y,23/02/2023,11/12/2036,Y,--3----,0000,0400
EDMDUN500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO RAS EDUUFRAN,Y,Y,23/02/2023,11/12/2036,Y,-2-----,0000,0400
EDMDUW500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO RAS EDUUFRAW,Y,Y,10/08/2023,11/12/2036,Y,---4---,2130,0000
EDMDUW500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO RAS EDUUFRAW,Y,Y,10/08/2023,11/12/2036,Y,--3----,0000,0300
EDMDUW500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO RAS EDUUFRAW,Y,Y,10/08/2023,11/12/2036,Y,------7,2230,0000
EDMDUW500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO RAS EDUUFRAW,Y,Y,10/08/2023,11/12/2036,Y,--3----,0000,0400
EDMDWE500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO RAS EDWWFRAE,Y,Y,05/10/2023,11/12/2036,Y,-2-----,0000,0300
EDMDWE500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO RAS EDWWFRAE,Y,Y,05/10/2023,11/12/2036,Y,1------,2130,0000
EDMDWE500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO RAS EDWWFRAE,Y,Y,05/10/2023,11/12/2036,Y,--3----,0000,0400
EDMDWE500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO RAS EDWWFRAE,Y,Y,05/10/2023,11/12/2036,Y,-2-----,2230,0000
EDMEBL501A,M,CROSS BORDER FRA LIMITATION FROM RAS EDDCT TO RAS BALTFRA BETWEEN FLS 095-245,N,Y,05/10/2023,11/12/2036,Y,1234567,0000,0000
EDMEDM500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMNFRAS TO RAS EDMMFRAS AND FROM RAS EDMMFRAS TO RAS EDMMNFRAS,Y,Y,25/03/2021,11/12/2036,Y,------7,2130,0000
EDMEDM500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMNFRAS TO RAS EDMMFRAS AND FROM RAS EDMMFRAS TO RAS EDMMNFRAS,Y,Y,25/03/2021,11/12/2036,Y,-----6-,0000,0300
EDMEDM500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMNFRAS TO RAS EDMMFRAS AND FROM RAS EDMMFRAS TO RAS EDMMNFRAS,Y,Y,25/03/2021,11/12/2036,Y,----5--,0000,0300
EDMEDM500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMNFRAS TO RAS EDMMFRAS AND FROM RAS EDMMFRAS TO RAS EDMMNFRAS,Y,Y,25/03/2021,11/12/2036,Y,---4---,2130,0000
EDMEDM500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMNFRAS TO RAS EDMMFRAS AND FROM RAS EDMMFRAS TO RAS EDMMNFRAS,Y,Y,25/03/2021,11/12/2036,Y,--3----,0000,0400
EDMEDM501A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMNFRAE TO RAS EDMMFRAE AND FROM RAS EDMMFRAE TO RAS EDMMNFRAE,Y,Y,05/12/2019,11/12/2036,Y,-----6-,0000,0300
EDMEDM501A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMNFRAE TO RAS EDMMFRAE AND FROM RAS EDMMFRAE TO RAS EDMMNFRAE,Y,Y,05/12/2019,11/12/2036,Y,----5--,2130,0000
EDMEDM501A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMNFRAE TO RAS EDMMFRAE AND FROM RAS EDMMFRAE TO RAS EDMMNFRAE,Y,Y,05/12/2019,11/12/2036,Y,--3----,0000,0300
EDMEGG500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO CTA EDGGS AND FROM CTA EDGGS TO RAS EDMMFRAE,Y,Y,24/03/2022,11/12/2036,Y,----5--,2130,0000
EDMEGG500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO CTA EDGGS AND FROM CTA EDGGS TO RAS EDMMFRAE,Y,Y,24/03/2022,11/12/2036,Y,--3----,0000,0300
EDMEGG500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO CTA EDGGS AND FROM CTA EDGGS TO RAS EDMMFRAE,Y,Y,24/03/2022,11/12/2036,Y,1------,2130,0000
EDMEGG500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO CTA EDGGS AND FROM CTA EDGGS TO RAS EDMMFRAE,Y,Y,24/03/2022,11/12/2036,Y,--3----,0000,0400
EDMM100E,M,EN-ROUTE FRA LIMITATION IN RAS EDMMFRAE,Y,Y,05/10/2023,30/11/2023,Y,------7,0000,0300
EDMM100E,M,EN-ROUTE FRA LIMITATION IN RAS EDMMFRAE,Y,Y,05/10/2023,30/11/2023,Y,-2-----,0000,0400
EDMM100EB,F,EN-ROUTE FRA LIMITATION IN RAS EDMMFRAE,N,Y,03/12/2020,11/12/2036,Y,------7,0000,0300
EDMM100EB,F,EN-ROUTE FRA LIMITATION IN RAS EDMMFRAE,N,Y,03/12/2020,11/12/2036,Y,---4---,0000,0300
EDMM100EB,F,EN-ROUTE FRA LIMITATION IN RAS EDMMFRAE,N,Y,03/12/2020,11/12/2036,Y,------7,2230,0000
EDMM100S,M,EN-ROUTE FRA LIMITATION IN RAS EDMMFRAS,Y,Y,10/08/2023,30/11/2023,Y,-----6-,2130,0000
EDMM100S,M,EN-ROUTE FRA LIMITATION IN RAS EDMMFRAS,Y,Y,10/08/2023,30/11/2023,Y,----5--,2130,0000
EDMM100S,M,EN-ROUTE FRA LIMITATION IN RAS EDMMFRAS,Y,Y,10/08/2023,30/11/2023,Y,------7,0000,0400
EDMM100S,M,EN-ROUTE FRA LIMITATION IN RAS EDMMFRAS,Y,Y,10/08/2023,30/11/2023,Y,--3----,0000,0400
EDMM100S,M,EN-ROUTE FRA LIMITATION IN RAS EDMMFRAS,Y,Y,10/08/2023,30/11/2023,Y,-2-----,2230,0000
