DEP ID,DEP AD,"Last PT SID /
SID ID",DCT DEP PT,DEP FPL Options,"DEP Time
Applicability","DEP Operational
Goal",DEP Remarks,NAS / FAB,"Release
Date"
LF5865,LFBO,"LACOU, FISTO, MEN, AMOLO, RIBOU, PPG, GAUDE",,"COMPULSORY FOR TFC
viaVIA LFFRASW
------
NOT AVBL FOR TFC
via LFFRASW except
1. via LACOU DCT CHALA DCT CNA DCT MANAK
2. via LACOU DCT CHALA DCT CNA DCT GALOF
3. via LACOU DCT CHALA DCT CNA DCT ROYAN with ARR LFBH/DN/EYLFEY/FK/JB/OO/OU/RI
4. via LACOU DCT CHALA DCT TUPAR
5. via CNA DCT ESUZE
a. via ESUZE A25 MAREN with ARR LFBH/DN
b. via ESUZE A25 OLERO with ARR LFDP
5. via LACOU DCT CHALA DCT TUPAR
6. via FISTO DCT POI
67. via FISTO DCT PERIG DCT ADABI DCT BOKNO
78. via FISTO DCT PERIG DCT DIBAG DCT TUDRA DCT BEVOL
89. via FISTO DCT BEBIX DCT GUERE DCT KUKOR G21 ENUPA with ARR LFOK
910. via FISTO DCT BOKNO
110. via MEN DCT NINUN
112. via AMOLO DCT DEGOL DCT FJR
1213. via PPG DCT ALBER
1314. via PPG DCT KANIG
1415. via RIBOU DCT ROCAN DCT PUMAL
1516. via RIBOU DCT ROCAN DCT IBRAP
1617. via RIBOU DCT ROCAN DCT GEANT
1718. via GAUDE DCT ANETO
1819. via GAUDE DCT TIVLI
1920. via GAUDE DCT LATEK
2021. via LACOU DCT KOLIS with flt-type(M, X)","H24
------
1. H24
2. H24
3. H24
4. H24
5. H24
6. H24
7. H24
8. H24
9. H24
10. 22:00..05:00 (23:00..04:00)
10. H24
11. H24
12. H24
13. H24
14. H24
15. H24
16. H24
17. H24
18. H24
19. H24
20. H24
21. H24","Airport connectivity
----
to organize DEP in LFFRASW
20. GAT->OAT trajectory","Other SID only available below FL195 in LFBBFIR
FRA rule
for OAT<->GAT planning, Ref Loc= LFFRASW
In CACD define as per Annex3B:
LACOU DCT CHALA, CNA DCT ROYAN: MEA-UNL
LACOU DCT KOLIS: FL145-UNL
Other DCTs: FL195-UNL",LF,27-Sep-23
LE5673,LEZL,BUDIT,,"ONLY AVBL FOR TFC
Type RNAV
Via BUDIT
Other traffic shall file MAR",H24,To allocate correctly departing traffic,,LE,29-Sep-23
LF7266,LFCG,,"ADSER, DODOM, RAPES","COMPULSORY FOR TFC
VIA LFBBFIR EXC VIA LFFRASW",H24,Airport connectivity,,LF,8-Sep-23
LF7268,LFCL,,"DODOM, GAI, MONIX","COMPULSORY FOR TFC
VIA LFBBFIR EXC VIA LFFRASW",H24,Airport connectivity,,LF,8-Sep-23
LF7270,LFCQ,,"FINOT, GAI, MONIX","COMPULSORY FOR TFC
VIA LFBBFIR EXC VIA LFFRASW",H24,Airport connectivity,,LF,8-Sep-23
LF7272,LFCW,,"LACOU, RUMEL, SECHE","COMPULSORY FOR TFC
VIA LFBBFIR EXC VIA LFFRASW",H24,Airport connectivity,,LF,8-Sep-23
LF7274,"LFCX, LFDB",,"AGN, GAI, GOSAD, LACOU","COMPULSORY FOR TFC
VIA LFBBFIR EXC VIA LFFRASW",H24,Airport connectivity,,LF,8-Sep-23
LF7276,LFDX,,"GOSAD, LACOU, LAVRA, RUMEL","COMPULSORY FOR TFC
VIA LFBBFIR EXC VIA LFFRASW",H24,Airport connectivity,,LF,8-Sep-23
LF7278,LFMW,,"FINOT, MONIX","COMPULSORY FOR TFC
VIA LFBBFIR EXC VIA LFFRASW",H24,Airport connectivity,,LF,8-Sep-23
LF7280,LFCI,,"AFRIC, GAI, MASAM, MEN, MONIX",,H24,Airport connectivity,,LF,8-Sep-23
