ID,From,To,"Lower Vert.
Limit (FL)","Upper Vert.
Limit (FL)","Available or Not
(Y/N)",Utilization,"DCT Time
Availability","Operational
Goal",Remarks,"Direction of
Cruising Levels",ATC Unit,"Release
Date"
EG50128,MCT,HON,185,225,Yes,"ONLY AVBL FOR TFC
DEP EGCN/NM
With ARR EGKB/LC/TO",H24,To provide connectivity to JACKO1H STAR/Arrival routeing,,,EG**ACC,12 JUN 2020
EG50161,BKY,SILVA,MEA,665,Yes,"COMPULSORY FOR TFC
DEP EGSU
Via BOGNA/CPT/MID/SAM
------
NOT AVBL FOR TFC
DEP ad. (EGSC / EGSS)",H24,"To ensure traffic follows correct departure procedure from EGSU.
----------------------------------
This traffic shall depart via a EBOTO from EGSC and  a NUGBO SID from EGSS ","changes made to EGSC DEPS 
Structural CAA recommendation ",,EG**ACC,07 AUG 2020
EG50162,BKY,SILVA,245,665,Yes,"ONLY AVBL FOR TFC
DEP EGSU",H24,To enable flight planning above FL245.,"EGSC REMOVED FROM RESTRICTION 10 SEPT 2020 AIRAC
Structural CAA recommendation ",,EG**ACC,07 AUG 2020
EG50678,EBOTO,DTY,MEA,665,Yes,"COMPULSORY FOR TFC
DEP EGSC
VIA SILVA",H24,To ensure traffic follows correct departure procedure from EGSC,"EGSC DEPS CHANGED FROM BKY 10 SEPT 20
Structural CAA recommendation ",,EG**ACC,07 AUG 2020
EG50679,DTY,SILVA,MEA,665,Yes,"COMPULSORY FOR TFC
DEP EGSC
VIA SILVA",H24,To ensure traffic follows correct departure procedure from EGSC.,Structural CAA recommendation ,,EG**ACC,07 AUG 2020
LS5053,WIL,LASUN,MEA,195,Yes,"ONLY AVBL FOR TFC
DEP LSMD",H24,To provide connection from WIL SID towards LFEE.,,Even,LSAZACC,12 JUN 2020
EG5292,IDESI,BANEM,105,175,Yes,"ONLY AVBL FOR TFC
ARR EGSH/XW/YD/YM
Via IDESI
Between FL105 and FL175 at IDESI",H24,Only applicable for traffic below FL175 at IDESI. To enable filing below Y6,,,EG**ACC,10 JUL 2020
LF5492,POMEG,LACAZ,MEA,145,Yes,"ONLY AVBL FOR TFC
ARR LFMA/MV",H24,Connection to STAR for traffic coming from east,,,LFMMACC,10 JUL 2020
LF5237,AMIKO,NOQAS,MEA,505,Yes,"ONLY AVBL FOR TFC
DEP LFLU",H24,"ARR/DEP organisation, LoA",,EVEN/ODD,"LFMMACC, LFBBACC",10 JUL 2020
LS5012,KELIP,ASGED,MEA,195,Yes,"ONLY AVBL FOR TFC
ARR LSMA/ME/MM/ZC",H24,To facilitate traffic to MIL airfields for which no STAR is published in the Civil AIP,,Even,LSAZACC,04 AUG 2020
LS5014,DITON,WIL,MEA,195,Yes,"ONLY AVBL FOR TFC
ARR LSZG
Except if via LSAGCTA/UTA",H24,To connect airfields to the airway network,,Odd,LSAZACC,04 AUG 2020
LS5025,HOC,ABNOR,MEA,195,Yes,"ONLY AVBL FOR TFC
ARR LSHI",H24,To facilitate flight planning,,Odd,LSAZACC,04 AUG 2020
LS5026,OLBEN,ABNOR,MEA,195,Yes,"ONLY AVBL FOR TFC
ARR LSHI",H24,To facilitate flight planning,,Odd,LSAZACC,04 AUG 2020
LS5027,WIL,ABNOR,MEA,195,Yes,"ONLY AVBL FOR TFC
ARR LSHI",H24,To facilitate flight planning,,Odd,LSAZACC,04 AUG 2020
LS5028,WIL,ASBER,MEA,195,Yes,"ONLY AVBL FOR TFC
ARR LSHI",H24,To facilitate flight planning,,Odd,LSAZACC,04 AUG 2020
LS5167,ASGED,GERSA,095,195,Yes,"ONLY AVBL FOR TFC
DEP  LSMA, LSMD, LSME, LSZC",H24,"To connect LSMA, LSMD, LSME, LSZC
 with the ATS RTE network direction south.",,Even,LSAZACC,04 AUG 2020
ED50039,LAMSI,LASGA,275,660,Yes,"ONLY AVBL FOR TFC
ARR EDDV, EDDW, EDBM, EDBC, EDVE, ETNW
Above FL335 at LAMSI",H24,To offer shorter route option to specified traffic,FRAK,even,"(EDUUUAC,
EDMMACC)",10 JUL 2020
LF5241,LSE,RUSIT,MEA,195,Yes,"ONLY AVBL FOR TFC
dep GENEVA_GROUP via TIS",H24,To provide connection to the west,,EVEN,LFMMACC,07 AUG 2020
ED5043,IDARO,OBIGA,065,245,Yes,"ONLY AVBL FOR TFC
ARR EDDF",h24 ,FABEC Night Network,,,ED**ACC,23 JUL 2020
EBYX5001,ADKUV,BATTY,155,660,Yes,"ONLY AVBL FOR TFC
ARR (EBBR, EBMB)
Via ADKUV above FL245","00:00..05:00 (23:00..04:00)
","To facilitate ARR EBBR, EBMB via ADKUV during nights.",,EVEN,"EBBUACC, EDYYUAC",04 SEP 2020
EDLS5029,GAMSA,STAUB,245,660,Yes,"ONLY AVBL FOR TFC
via DOLUP",22:30..04:00 (21:30..03:00),"To offer shorter connection 
for overflights and ARR LK**",FRAK,Odd,"(EDUUUAC,
EDMMACC)",11 AUG 2020
LK5259,OKL,ARTUP,065,165,Yes,,H24,Connectivity for flights through TMA/CTA1 Praha,,ODD,LKPRAPP,22 JAN 2021
LK5260,OKL,BALTU,065,165,Yes,,H24,Connectivity for flights through TMA/CTA1 Praha,,EVEN,LKPRAPP,22 JAN 2021
LK5262,OKL,DOBEN,065,165,Yes,,H24,Connectivity for flights through TMA/CTA1 Praha,,EVEN,LKPRAPP,22 JAN 2021
LK5263,OKL,VENOX,065,165,Yes,,H24,Connectivity for flights through TMA/CTA1 Praha,,EVEN/ODD,LKPRAPP,22 JAN 2021
LK5264,OKL,VOZ,065,165,Yes,,H24,Connectivity for flights through TMA/CTA1 Praha,,ODD,LKPRAPP,22 JAN 2021
LK5265,BALTU,OKL,065,165,Yes,"ONLY AVBL FOR TFC
1. DEP LKKV
2. via L984",H24,Connectivity for flights through TMA/CTA1 Praha,Other traffic shall file LOMKI DCT OKL,ODD,LKPRAPP,22 JAN 2021
LK5267,GOLOP,OKL,065,165,Yes,,H24,Connectivity for flights through TMA/CTA1 Praha,,EVEN/ODD,LKPRAPP,22 JAN 2021
LK5269,LOMKI,OKL,065,165,Yes,,H24,Connectivity for flights through TMA/CTA1 Praha,,ODD,LKPRAPP,22 JAN 2021
LK5270,VLM,OKL,065,165,Yes,,H24,Connectivity for flights through TMA/CTA1 Praha,,EVEN,LKPRAPP,22 JAN 2021
LK5271,LOMKI,BALTU,045,165,Yes,,H24,Connectivity for flights through TMA/CTA1 Praha,,EVEN/ODD,LKPRAPP,22 JAN 2021
LK5272,BALTU,LOMKI,045,165,Yes,,H24,Connectivity for flights through TMA/CTA1 Praha,,EVEN/ODD,LKPRAPP,22 JAN 2021
LK5273,LOMKI,DOBEN,035,165,Yes,,H24,Connectivity for flights through TMA/CTA1 Praha,,ODD,LKPRAPP,22 JAN 2021
LK5274,DOBEN,LOMKI,035,165,Yes,,H24,Connectivity for flights through TMA/CTA1 Praha,,EVEN,LKPRAPP,22 JAN 2021
LK5277,GOLOP,ARTUP,055,165,Yes,,H24,Connectivity for flights through TMA/CTA1 Praha,,ODD,LKPRAPP,22 JAN 2021
LK5278,ARTUP,GOLOP,055,165,Yes,,H24,Connectivity for flights through TMA/CTA1 Praha,,EVEN,LKPRAPP,22 JAN 2021
LK5279,GOLOP,VENOX,035,165,Yes,,H24,Connectivity for flights through TMA/CTA1 Praha,,EVEN,LKPRAPP,22 JAN 2021
LK5280,VENOX,GOLOP,035,165,Yes,,H24,Connectivity for flights through TMA/CTA1 Praha,,ODD,LKPRAPP,22 JAN 2021
LK5281,VOZ,VLM,045,165,Yes,,H24,Connectivity for flights through TMA/CTA1 Praha,,EVEN/ODD,LKPRAPP,22 JAN 2021
LK5282,VLM,VOZ,045,165,Yes,,H24,Connectivity for flights through TMA/CTA1 Praha,,EVEN/ODD,LKPRAPP,22 JAN 2021
LK5285,YUJKI,PEMEL,035,165,Yes,,H24,Connectivity for flights through TMA/CTA1 Praha,,EVEN,LKPRAPP,22 JAN 2021
LZ5160,KOPAT,ETIPA,125,660,Yes,"ONLY AVBL FOR TFC
ARR LOWW",H24,ARR LOWW flight planning option,,EVEN,LZBBACC,30 OCT 2020
LZ5161,UPIVA,ETIPA,125,660,Yes,"ONLY AVBL FOR TFC
ARR LOWW",H24,ARR LOWW flight planning option,,EVEN,LZBBACC,30 OCT 2020
LK5297,ODPAL,LEGAZ,045,165,Yes,,H24,Connectivity for DEP LKKV,,ODD,LKPRAPP,22 JAN 2021
EG50680,WCO,BOMBO,MEA,195,Yes,"ONLY AVBL FOR TFC
ARR (ad. EGGW, EGKB, EGLC, EGMC, EGSC, EGSS, EGSU, EGTB, EGTO, EGTR)",H24,structural - to ensure consistent routing.,,,EG**ACC,30 OCT 2020
EG50681,UNGAP,SILVA,MEA,195,Yes,"ONLY AVBL FOR TFC
DEP (ad. EGBB / EGBE)",H24,structual - DCT for EGBB DEPS to link to SILVA for arrival,,,EG**ACC,30 OCT 2020
EG50288,LISBO,RINGA,MEA,245,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
DEP EGAA/AD/AL
Via RINGA",H24,"In the absence of SIDs, this DCT provides connectivity",,,EG**ACC,02 SEP 2020
LF50058,AZFIC,EPIXO,115,345,Yes,"ONLY AVBL FOR TFC
ARR NANTES_GROUP",H24,To facilitate connection,,Even,LFRRACC,29 OCT 2021
LF5071,JSY,REVTU,195,660,Yes,,H24,FRAF,FRAF,EVEN,LFRRACC,29 OCT 2021
EB5010,KOK,DENUT,115,245,Yes,"ONLY AVBL FOR TFC
arr EHAM,EHLE,EHRD,EHEH,EHBD",H24,To facilitate better flight planning by offering shorter connections below FL245,,,EBBUACC,30 OCT 2020
LF5308,AJO,NESUL,MEA,195,Yes,,"h24
When LFZMED1Z and LFZMED2Z and LFZMED3Z are active",To bypass military activity,,ODD,LFMMACC,02 OCT 2020
LF5313,AJO,BUKID,MEA,195,Yes,,"H24
When LFZMED1Z and LFZMED2Z and LFZMED3Z are active",To bypass military activity,,ODD,LFMMACC,02 OCT 2020
EG5263,ADNAM,DET,MEA,660,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
DEP EGSC
Via DVR/LYD/NEVIL/SANDY/SFD",H24,To ensure this traffic follows correct departure routing. To de-conflict with EGSS airspace,,,EG**ACC,12 SEP 2020
EG50120,DET,TIMBA,MEA,075,Yes,"COMPULSORY FOR TFC
DEP EGGW/SS/WU
With. ARR EGKK",H24,To force the listed EGKK arrivals to file via the standard route DET DCT TIMBA and ensure these remain below FL075 to avoid sector complexity.,,,EG**ACC,12 SEP 2020
EG5262,ADNAM,CLN,MEA,660,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
DEP EGSC
1. Via KONAN/SUMUM
2. ARR EGKB/LC/LL/MC/TO/WU",H24,To ensure this traffic follows standard departure routing. To de-conflict with EGSS airspace,,,EG**ACC,12 SEP 2020
EG5374,DRAKE,HAZEL,105,125,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
ARR EGLD/LL/WU
Via SITET",H24,To ensure this DCT above FL105 is only available to these arrivals,,,EG**ACC,30 OCT 2020
EG50151,EKNIV,LARCK,MEA,075,Yes,"COMPULSORY FOR TFC
DEP EGLC
Type (D1, D2, D3 D4, O1, O2, O3, O4) equipped
With ARR EGKK",H24,To ensure correct route for positioning traffic,,,EG**ACC,30 OCT 2020
LS5179,TINOX,DONET,MEA,105,Yes,"ONLY AVBL FOR TFC
dep EDTM with arr EDTD",H24,To prevent inventive flight planning.,,,LSAZACC,30 OCT 2020
LF50075,NEBAX,LASAT,345,660,Yes,"ONLY AVBL FOR TFC
via 
1.LASAT DCT DEVDI
2.LASAT UN491 BEGAR",H24,To offer shorter route option.,,Odd,LFEEACC,30 OCT 2020
LF5317,LESPI,ROA,065,145,Yes,"ONLY AVBL FOR TFC
dep LFLN with arr LFLS",H24,Airport connectivity,,,LFMMACC,30 OCT 2020
LF5248,ERIGA,ARTIV,275,500,Yes,"ONLY AVBL FOR TFC
via REVTU",H24,Green RAD Fuel saving route,,EVEN,LFRRACC,14 OCT 2020
LF5320,ARTIV,REVTU,275,500,Yes,"ONLY AVBL FOR TFC
VIA REVTU",H24,Green RAD Fuel saving route,,EVEN,LFRRACC,14 OCT 2020
LF5457,USODA,UVIKO,305,500,Yes,"NOT AVBL FOR TFC
ARR LILLE_Group,EBKT/CV",h24,"Green RAD 
In case of military activity, rerouting via UN873",FRAF,Even,LFRRACC,23 OCT 2020
LF5251,ARTIV,AKIKI,305,500,Yes,"ONLY AVBL FOR TFC
via LOTEE",H24,Green RAD,,EVEN,LFRRACC,27 NOV 2020
EG50386,IOM,DCS,045,245,Yes,"COMPULSORY FOR TFC
- DEP EGNS
with ARR EGNT, EGNV",H24,"To allow expeditious routing outside controlled airspace where traffic levels do not warrant a permanent air route.
Structural, to ensue correct flight planning between these city pairs. ",,,EG**ACC,28 OCT 2020
GM5007,BRF,ULMAM,195,460,Yes,"ONLY AVBL FOR TFC
DEP GMFB","MON..FRI 06:00..15:00
MON..FRI 17:00..22:00",Alternative route for CDR,,,GMMMACC,03 NOV 2020
GM5009,ULMAM,OJD,195,460,Yes,"ONLY AVBL FOR TFC
DEP GMFB","MON..FRI 06:00..15:00
MON..FRI 17:00..22:00",Alternative route for CDR,,,GMMMACC,03 NOV 2020
GM5016,ULMAM,BRF,195,460,Yes,"ONLY AVBL FOR TFC
ARR GMFB","MON..FRI 06:00..15:00
MON..FRI 17:00..22:00",Alternative route for CDR,,,GMMMACC,03 NOV 2020
GM5065,OJD,ULMAM,195,460,Yes,"ONLY AVBL FOR TFC
ARR GMFB","MON..FRI 06:00..15:00
MON..FRI 17:00..22:00",Alternative route for CDR,,,GMMMACC,03 NOV 2020
YXED5000,LARBU,ALUKA,245,660,Yes,"ONLY AVBL FOR TFC
DEP EB**, EL** via ONUNE
above FL285 at ALUKA",H24,"To offer shorter route options
(crossborder DCT MUAC and KUAC)",FRAMaK,Odd,"(EDUUUAC,
EDYYUAC)",25 DEC 2020
YXED5002,LARBU,BODLA,245,660,Yes,"ONLY AVBL FOR TFC
DEP EB**, EL** via ONUNE
above FL285 at BODLA",H24,"To offer shorter route options
(crossborder DCT MUAC and KUAC)",FRAMaK,Odd,"(EDUUUAC,
EDYYUAC)",25 DEC 2020
YXED5005,LARBU,SUBIX,245,660,Yes,"ONLY AVBL FOR TFC
DEP EB**, /EL** via ONUNE
above FL325 at  SUBIX",H24,"To offer shorter route options
(crossborder DCT MUAC and KUAC)",FRAMaK,Odd,"(EDUUUAC,
EDYYUAC)",25 DEC 2020
LE5004,BEXID,TLD,105,245,Yes,,H24,To avoid Madrid TMA main flows,,,LECMACC,27 NOV 2020
LE5227,TLD,BEXID,105,245,Yes,,H24,To avoid Madrid TMA main flows,,,LECMACC,27 NOV 2020
EG50683,ODMOS,BAZNA,MEA,660,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
With RFL above FL255 in EG
ARR (EGNT, EGNV)
Via EKDKFIR",Within the activated vertical limits of EGTDA597/EGTDA597Z,To enable connectivity inbound to EGNT/NV from LESRA during promulgated activity of temporary danger area TDA597 and its associated buffer zone.  Traffic shall file UL975 ODMOS DCT BAZNA DCT IDDEC DCT TOWTE DCT NATEB.  See RAD Appendix 7 EGTDA597(Z) entries for full utilisation restrictions.,,,EG**ACC,22 JAN 2021
EG50684,BAZNA,IDDEC,MEA,660,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
With RFL above FL255 in EG
ARR (EGNT, EGNV)
Via EKDKFIR",Within the activated vertical limits of EGTDA597/EGTDA597Z,To enable connectivity inbound to EGNT/NV from LESRA during promulgated activitiy of temporary danger area TDA597 and its associated buffer zone.  Traffic shall file UL975 ODMOS DCT BAZNA DCT IDDEC DCT TOWTE DCT NATEB. See RAD Appendix 7 EGTDA597(Z) entries for full utilisation restrictions.,,,EG**ACC,22 JAN 2021
EG50685,IDDEC,TOWTE,MEA,660,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
With RFL above FL255 in EG
ARR (EGNT, EGNV)
Via EKDKFIR",Within the activated vertical limits of EGTDA597/EGTDA597Z,To enable connectivity inbound to EGNT/NV from LESRA during promulgated activity of temporary danger area TDA597 and its associated buffer zone.  Traffic shall file UL975 ODMOS DCT BAZNA DCT IDDEC DCT TOWTE DCT NATEB.  See RAD Appendix 7 EGTDA597(Z) entries for full utilisation restrictions.,,,EG**ACC,22 JAN 2021
EG50686,TOWTE,NATEB,MEA,660,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
With RFL above FL255 in EG
ARR (EGNT, EGNV)
Via EKDKFIR",Within the activated vertical limits of EGTDA597/EGTDA597Z,To enable connectivity inbound to EGNT/NV from LESRA during promulgated activity of temporary danger area TDA597 and its associated buffer zone.  Traffic shall file UL975 ODMOS DCT BAZNA DCT IDDEC DCT TOWTE DCT NATEB.  See RAD Appendix 7 EGTDA597(Z) entries for full utilisation restrictions.,,,EG**ACC,22 JAN 2021
EG50687,NATEB,TOWTE,MEA,660,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
With RFL above FL255 in EG
DEP (EGNT, EGNV)
Via EKDKFIR",Within the activated vertical limits of EGTDA597/EGTDA597Z,To enable connectivity departing EGNT/NV to LESRA/INBOB during promulgated activity of temporary danger area TDA597 and its associated buffer zone.  Traffic shall file NATEB DCT TOWTE DCT ANMAZ DCT BAZNA DCT ODMOS UL975. See RAD Appendix 7 EGTDA597(Z) entries for full utilisation restrictions.,,,EG**ACC,22 JAN 2021
EG50688,TOWTE,ANMAZ,MEA,660,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
With RFL above FL255 in EG
DEP (EGNT, EGNV)
Via EKDKFIR",Within the activated vertical limits of EGTDA597/EGTDA597Z,To enable connectivity departing EGNT/NV to LESRA/INBOB during promulgated activity of temporary danger area TDA597 and its associated buffer zone.  Traffic shall file NATEB DCT TOWTE DCT ANMAZ DCT BAZNA DCT ODMOS UL975.  See RAD Appendix 7 EGTDA597(Z) entries for full utilisation restrictions.,,,EG**ACC,22 JAN 2021
EG50689,ANMAZ,BAZNA,MEA,660,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
With RFL above FL255 in EG
DEP (EGNT, EGNV)
Via EKDKFIR",Within the activated vertical limits of EGTDA597/EGTDA597Z,To enable connectivity departing EGNT/NV to LESRA/INBOB during promulgated activity of temporary danger area TDA597 and its associated buffer zone.  Traffic shall file NATEB DCT TOWTE DCT ANMAZ DCT BAZNA DCT ODMOS UL975.  See RAD Appendix 7 EGTDA597(Z) entries for full utilisation restrictions.,,,EG**ACC,22 JAN 2021
EG50690,BAZNA,ODMOS,MEA,660,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
With RFL above FL255 in EG
DEP (EGNT, EGNV)
Via EKDKFIR",Within the activated vertical limits of EGTDA597/EGTDA597Z,To enable connectivity departing EGNT/NV to LESRA/INBOB during promulgated activity of temporary danger area TDA597 and its associated buffer zone.  Traffic shall file NATEB DCT TOWTE DCT ANMAZ DCT BAZNA DCT ODMOS UL975.  See RAD Appendix 7 EGTDA597(Z) entries for full utilisation restrictions.,,,EG**ACC,22 JAN 2021
EG5087,RIVOT,ALOTI,MEA,245,Yes,"COMPULSORY FOR TFC
With RFL below FL245
DEP EGNT
With ARR ENBR/ZV
Except if via GOMOT DCT CUTEL
This traffic shall file NATEB DCT ROBEM DCT RIVOT DCT ALOTI
Traffic outside these hours shall file 
1. via NATEB DCT CUTEL DCT NIVUN.(Check D513 activity) 
2. GOMOT DCT CUTEL",Outside the activated vertical limits of EGD613D/EGTDA597/EGTDA597Z.,To enable low level traffic to file across North Sea when there is no activity promulgated in the AUP/UUP for EGD613D/EGTDA597/EGTDA597Z at the filed FL.,,,EG**ACC,22 JAN 2021
EG50274,ACORN,BIG,MEA,075,Yes,"COMPULSORY FOR TFC
Non-RNAV1/RNP1 equipped (not D1 D2 D3 D4 O1 O2 O3 or O4)
DEP EGKK
With ARR EGLD/LL/WU",H24,To ensure correct route for non RNAV1 positioning traffic and RNAV1 off RWY 26. RNAV1 traffic off RWY 08 will use the BIG2Z,,,EG**ACC,22 JAN 2021
EG5298,HON,XAMAB,205,660,Yes,"ONLY AVBL FOR TFC
With RFL above FL245
------
ONLY AVBL FOR TFC
With RFL above FL305 
------
NOT AVBL FOR TFC
DEP  (MANCHESTER_GROUP/ MIDLANDLANDS_GROUP) (EGCN/NM)","00:01..06:00 (23:01..05:00) at HON
------
06:01..23:59 (05:01..23:00) at HON","1.     Night Time DCT Route.
2.	To provide fuel saving benefit for traffic  via HON and SITET outside of the night time DCT.
3.	The DCT is not available to traffic  departing MANCHESTER_GROUP/ MIDLANDLANDS_GROUP) and EGCN NM, except  at night (00:01..06:00 (23:01..05:00) at HON).","
",,EG**ACC,22 JAN 2021
EG5297,HON,SITET,205,660,Yes,"ONLY AVBL FOR TFC
With RFL above FL245
------
ONLY AVBL FOR TFC
With RFL above FL 305  
------
NOT AVBL FOR TFC
DEP  (MANCHESTER_GROUP/ MIDLANDLANDS_GROUP) (EGCN/NM)","00:01..06:00 (23:01..05:00) at HON
------
06:01..23:59 (05:01..23:00) at HON","1.      Night Time DCT Route
2.	To provide fuel saving benefit for traffic  via HON and SITET outside of the night time DCT.
3.	The DCT is not available to traffic  departing MANCHESTER_GROUP/ MIDLANDLANDS_GROUP) and EGCN NM, except  at night (00:01..06:00 (23:01..05:00) at HON).
",,,EG**ACC,22 JAN 2021
EG50706,EMKUK,SFD,305,660,Yes,"NOT AVBL FOR TFC
DEP  (MANCHESTER_GROUP/ MIDLANDLANDS_GROUP) (EGCN/NM)
Via HON and XIDIL",06:01..23:59 (05:01..23:00) at HON,To provide fuel saving benefit for traffic via HON and XIDIL that profile above FL305+ by EMKUK.,,,EG**ACC,22 JAN 2021
LS5020,DJL,LIRKO,MEA,195,Yes,"ONLY AVBL FOR TFC
ARR LFKD, CHAMBERY_GROUP, LSGS,LSGL,LSGP,LFHN,LFLI",H24,To enable a link to Y55,,Odd,"(LSAGACC, LFSBBM)",25 DEC 2020
LF5403,FIFUC,JSY,195,600,Yes,,H24,offered direct routeing in FRA,,EVEN,LFRRACC,29 OCT 2021
LF5410,GODEM,LUSON,MEA,660,Yes,"ONLY AVBL FOR TFC
arr lfbh,lfou,lfri",H24,to enable arrivals from DELOG,,EVEN,LFRRACC,29 OCT 2021
LF5411,TORTU,BEBEV,MEA,235,Yes,"ONLY AVBL FOR TFC
not-acft-eqpt(D1,D2,O1,O2)
arr LFKJ",H24,"Airport connectivity (LFKJ)
For traffic not able to perform RNAV1 (GNSS) STAR.
Flight plan route is: TORTU DCT BEBEV DCT LFKJ",,ODD,LFMMACC,22 JAN 2021
EG50708,EVRIN,BOFUM,245,660,No,,H24,To prevent traffic filing along the FIR boundary,,,EG**ACC,22 JAN 2021
EG50709,AMLAD,BOFUM,MEA,660,No,,H24,To prevent traffic filing direct across the UK boudnary,,,EG**ACC,22 JAN 2021
EG50710,IBROD,BOFUM,MEA,660,No,,H24,To prevent traffic filing direct across the UK boudnary,,,EG**ACC,22 JAN 2021
EG50711,KUGUR,BOFUM,MEA,660,No,,H24,To prevent traffic filing direct across the UK boudnary,,,EG**ACC,22 JAN 2021
EG50712,LUTOV,BOFUM,MEA,660,No,,H24,To prevent traffic filing direct across the UK boudnary,,,EG**ACC,22 JAN 2021
EG50713,MIMKU,BOFUM,MEA,660,No,,H24,To prevent traffic filing direct across the UK boudnary,,,EG**ACC,22 JAN 2021
EG50714,NIBOG,BOFUM,MEA,660,No,,H24,To prevent traffic filing direct across the UK boudnary,,,EG**ACC,22 JAN 2021
EG50715,APSOV,BOFUM,MEA,660,No,,H24,To prevent traffic filing direct across the UK boudnary,,,EG**ACC,22 JAN 2021
EG50716,DEGOS,BOFUM,245,660,No,,H24,To prevent traffic filing in close proximity to the FIR boundary.,,,EG**ACC,22 JAN 2021
LF5240,BULOL,BUSIL,195,665,Yes,"ONLY AVBL FOR TFC
Via (GIPNO, LTP, RUSIT) except 
1. ARR ORLY_GROUP above  FL345 at BUSIL
2. ARR ROISSY_GROUP, LFOB
3. ARR LFEEFIR",when LFT24AZ2 or LFT24BZ2 is active,To avoid LFTSA24A or LFTSA24B,,EVEN,"(LFFFACC, LFMMACC)",29 OCT 2021
LF5318,TRO,ENORI,345,660,Yes,"ONLY AVBL FOR TFC
via ENORI DCT MEDIL",22:00..06:00 (23:00..04:00),"Night Time Fuel saving Route
In case of Defence activity route via CACHI DCT AVLON UM976 BRY UM733 KOPOR UN874 VEKIN",FRAF,Even,LFEEACC,29 OCT 2021
LF5399,SIZZA,TRO,195,500,Yes,"ONLY AVBL FOR TFC
via MOPEM",22:00..05:00 (23:00..04:00),"Night time fuel saving route (NTFSR).
In case of Defence activity route via CACHI DCT AVLON UM976 BRY UM733 KOPOR UN874 VEKIN UN873 ADUTO or route via LOGNI DCT MOKIP DCT ARFOZ UN854 DJL UM729 TRO",FRAF,Even,"(LFFFACC, LFEEACC)",29 OCT 2021
LF5423,ETREK,MOPEM,245,500,Yes,"ONLY AVBL FOR TFC
Via MOPEM DCT SIZZA DCT TRO",23:00..03:30 (23:00..02:30),"Night time fuel saving route (NTFSR).
Time limitation refers to time over ETREK and TRO.",FRAF,Even,LFMMACC,29 OCT 2021
LF5454,NUCIF,TRO,195,500,Yes,"ONLY AVBL FOR TFC
via LOGNI",23:00..03:30 (23:00..02:30),"Night Time Fuel saving Route
In case of Military activity, re-routing on ATC instruction via  LOGNI DCT MOKIP DCT ARFOZ UN854 DJL UM729 TRO",FRAF,Even,LFFFACC,29 OCT 2021
EG50132,DET,GODLU,MEA,085,Yes,"COMPULSORY FOR TFC
1. DEP EGKB/KK/LL with ARR EGLC
2. DEP EGKK/LC/LL/MC with ARR EGKB",H24,To ensure correct route for positioning traffic to join the AVANT1C at GODLU,,,EG**ACC,22 JAN 2021
ED5304,AMOSA,ANELA,205,315,Yes,"ONLY AVBL FOR TFC
DEP EDDS
Above FL255 at ANELA",H24,"To offer shorter connection for listed DEP flow, enabling seamless climb and support better ATC data exchange (if entering EDUUUTA).",,ODD,"EDMMACC, EDUUUAC",05 JAN 2021
LF50086,VAVIX,MAGEC,MEA,195,Yes,"ONLY AVBL FOR TFC
ARR LFBZ via LFBBUBDX",H24,To facilitate connection with LFBB FRA,,ODD,LFBBACC,29 OCT 2021
LF50087,OSMOB,VAVIX,MEA,195,Yes,"ONLY AVBL FOR TFC
ARR LFBS/BZ via LFBBUBDX",H24,To facilitate connection with LFBB FRA,,ODD,LFBBACC,29 OCT 2021
LF50088,UVELI,OSMOB,MEA,195,Yes,"ONLY AVBL FOR TFC
ARR LFBS via LFBBUBDX",H24,To facilitate connection with LFBB FRA,,ODD,LFBBACC,29 OCT 2021
LF50089,EVPOK,AGN,145,195,Yes,"ONLY AVBL FOR TFC
ARR LFBP/BT/CG/CL/CQ/CW/CX/DB/DH/DX/MW via LFBBUBDX",H24,To facilitate connection with LFBB FRA,,ODD,LFBBACC,29 OCT 2021
LF50090,PIMQO,AGN,145,195,Yes,"ONLY AVBL FOR TFC
ARR LFBP/BT/CG/CL/CQ/CW/CX/DB/DH/DX/MW via LFBBUBDX",H24,To facilitate connection with LFBB FRA,,ODD,LFBBACC,29 OCT 2021
LF50091,UVELI,AGN,MEA,195,Yes,"ONLY AVBL FOR TFC
ARR LFBP/BT/CG/CL/CQ/CW/CX/DB/DH/DJ/DX/MW via LFBBUBDX",H24,To facilitate connection with LFBB FRA,,ODD,LFBBACC,29 OCT 2021
LF50092,MINSO,NARAK,MEA,195,Yes,"ONLY AVBL FOR TFC
ARR LFBF/BO/BR/CC via LFBBUBDX",H24,To facilitate connection with LFBB FRA,,ODD,LFBBACC,29 OCT 2021
