ID,From,To,"Lower Vert.
Limit (FL)","Upper Vert.
Limit (FL)","Available or Not
(Y/N)",Utilization,"DCT Time
Availability","Operational
Goal",Remarks,"Direction of
Cruising Levels",ATC Unit,"Release
Date"
LFLS5014,LASAT,DEVDI,295,660,Yes,"NOT AVBL FOR TFC
1. Via GTQ
Except
a. DEP ELLX, LFEEFIR, EDDR
b. DEP EB** eng-typ Turboprop, Piston
2. Via STR
3. DEP BASEL_GROUP
4. DEP STRASBOURG_GROUP",H24,To deconflict BEGAR-Area and offer shorter route option,,Odd,LFEEACC,
LSED5023,AMRUP,DONET,MEA,125,Yes,"COMPULSORY FOR TFC
DEP BASEL_GROUP with ARR EDTD",H24,To facilitate flightplanning and decomplex traffic flows within LSZH TMA,,Even,LSAZACC,
LF50083,TIS,ROA,065,245,Yes,"ONLY AVBL FOR TFC
ARR LFLS",H24,To connect STAR ROA,,Even,LFMMACC,
LF50084,CFA,ROA,065,195,Yes,"ONLY AVBL FOR TFC
ARR LFLS",H24,To connect STAR ROA,,Even,LFMMACC,
LS5173,ZUE,DONET,055,095,Yes,"ONLY AVBL FOR TFC
ARR EDTD",H24,To provide connectivity for ARR EDTD.,,Even,LSAZACC,
LS5174,GIPOL,AMRUP,075,095,Yes,"ONLY AVBL FOR TFC
ARR EDTD",H24,To provide connectivity for ARR EDTD.,,Odd,LSAZACC,
EG50332,WCO,BPK,105,245,Yes,"ONLY AVBL FOR TFC
DEP EGUB 
Via REDFA/RINTI",H24,"Other traffic shall file 
Q70 Above FL155",,,EG**ACC,
EG5330,SOVAT,DVR,MEA,195,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
ARR EGSH/UL/UN
Via SOVAT",H24,To ensure traffic files standard route L613 SOVAT  DCT DVR M189,,,EG**ACC,
LILS5010,TOP,PINIK,095,305,Yes,"ONLY AVBL FOR TFC
ARR LSZL
With RFL above FL135",H24,To facilitate traffic to MIL airfields for which no STAR is published in the Civil AIP,,,LI**ACC,
LI5205,LUMAV,OTGIG,095,305,Yes,"ONLY AVBL FOR TFC
DEP LIPE with ARR LIPZ",H24,To facilitate the city-pair,,,LI**ACC,
EG50330,DONAX,GOKOV,135,660,Yes,"ONLY AVBL FOR TFC
acft-eqpt  (D1, D2, D3, D4, O1, O2, O3, O4)
ARR EGNT
With RFL above FL245",23:59..06:00 (22:59..05:00) at DONAX,Night DCT to allow more direct routeing to pick up the POL1N,,,EG**ACC,
LF50063,MTZ,GTQ,MEA,195,Yes,"NOT AVBL FOR TFC
Via LFEE4EH above FL295
------
ONLY AVBL FOR TFC
1. DEP/ARR LILLE_GROUP
2. DEP/ARR LFEEFIR, EDSB/TL",H24,To avoid out of ordinary planning,,,LF**ACC,
EY5002,ERIVA,IKAMU,125,285,Yes,"TBD
- General conditions apply","When EYTSA4 is not
 active",To prevent filing close to the active military area,,,EYVCACC,
EY5003,IKAMU,ERIVA,125,285,Yes,"TBD
- General conditions apply","When EYTSA4 is not
 active",To prevent filing close to the active military area,,,EYVCACC,
YX5466,TUGDU,HDO,245,660,Yes,"NOT AVBL FOR TFC
1. DEP ED**, ET**, EK**
2. ARR PRAGUES_GROUP 
3. Below FL325 at HDO","MON..THU 23:00..07:00 (22:00..06:00)
FRI 23:00 (22:00)..MON 07:00 (06:00)",Track shortening for airline operators as part of the FABEC LRDR Project,"FRAM
FRaK",Odd,"(EDUUUAC,
EDYYUAC)",
YXED5019,TOLGI,BINKA,245,660,Yes,"ONLY AVBL FOR TFC
DEP EDDK/DF/FE, ETOU 
above FL285 at BINKA
------
NOT AVBL FOR TFC
ARR EPSC",H24,To offer shorter connections (crossborder DCT MUAC and KUAC),FRAMaK,Odd,"(EDUUUAC,
EDYYUAC)",
YXED5020,TOLGI,BODLA,245,660,Yes,"ONLY AVBL FOR TFC
DEP EDDK/DF/FE, ETOU 
above FL285 at BODLA
------
NOT AVBL FOR TFC
ARR EPSC",H24,To offer shorter connections (crossborder DCT MUAC and KUAC),FRAMaK,Odd,"(EDUUUAC,
EDYYUAC)",
YXED5021,TOLGI,OKAGA,245,660,Yes,"ONLY AVBL FOR TFC
DEP EDDK/DF/FE, ETOU 
above FL285 at OKAGA",H24,To offer shorter connections (crossborder DCT MUAC and KUAC),FRAMaK,Odd,"(EDUUUAC,
EDYYUAC)",
YXED5023,TOLGI,SALLO,245,660,Yes,"ONLY AVBL FOR TFC
DEP EDDK/DF/FE, ETOU 
above FL285 at SALLO
------
NOT AVBL FOR TFC
ARR EKCH/RK, ESMS",H24,To offer shorter connections (crossborder DCT MUAC and KUAC),FRAMaK,Odd,"(EDUUUAC,
EDYYUAC)",
YXED5024,TOLGI,SONAL,245,660,Yes,"ONLY AVBL FOR TFC
DEP FRANKFURT_GROUP, EDDK
With RFL above FL285
------
NOT AVBL FOR TFC
ARR COPENHAGEN_GROUP, ESEK/MK/MS, EKRN",H24,FRAMaK,,Odd,"(EDUUUAC,
EDYYUAC)",
YXED5025,TOLGI,SUBIX,245,660,Yes,"ONLY AVBL FOR TFC
DEP EDDK/DF/FE, ETOU 
above FL325 at SUBIX
------
NOT AVBL FOR TFC
1. Via KUNER/RANOK/IPLIT 
2. ARR EPPO/ZG",H24,To offer shorter connections (crossborder DCT MUAC and KUAC),FRAMaK,Odd,"(EDUUUAC,
EDYYUAC)",
YXED5017,TOLGI,ALUKA,245,660,Yes,"ONLY AVBL FOR TFC
DEP EDDK/DF/FE, ETOU 
above FL325 at ALUKA
------
NOT AVBL FOR TFC
ARR EPSC",H24,To offer shorter connections (crossborder DCT MUAC and KUAC),FRAMaK,Odd,"(EDUUUAC,
EDYYUAC)",
LL5035,SIVAK,TOMAL,115,375,Yes,"ONLY AVBL FOR TFC
DEP LLER, LLNV, LLRM",Only available during activation of exercise published  by NOTAM,Excercise A scenario,,Even,LLLLACC,
LS5033,TINOX,AMIKI,MEA,095,Yes,"ONLY AVBL FOR TFC
DEP EDTM
With ARR LSZH",H24,To facilitate flight planning,,,LSAZACC,
EP5030,ARMEX,RASUT,095,365,Yes,"NOT AVBL FOR TFC
Above FL285
Except DEP EPPO/ZG",H24,"To enable traffic between ADVAB - TOMTI below FL285 especially when TS07 is active
May be closed by Notam",,,EPWWACC,
EP5131,MISKA,NILPU,095,660,Yes,"ONLY AVBL FOR TFC
ARR EPPO",H24,"To enable traffic between LAGAR - NILPU (alternative connection for traffic ARR EPPO when TS07 is active)
May be closed by Notam",,,EPWWACC,
EG50346,SAB,TARTN,MEA,245,Yes,"NOT AVBL FOR TFC
ARR EGPH",H24,To reduce sector complexity,,,EG**ACC,
EG50171,NANUM,BUGUP,MEA,660,Yes,"ONLY AVBL FOR TFC
DEP EGTK
Via CPT/DET/DVR/GWC/MID/SAM/XIDIL
With RFL above FL195 in EGTTFIR
2. ARR EGHH/HI
------
COMPULSORY FOR TFC
DEP EGTK
Via CPT/DET/DVR/GWC/MID/SAM/XIDIL
With RFL above FL195 in EGTTFIR",H24,To ensure traffic follows standard route,,,EG**ACC,
EG5338,ERING,LYD,MEA,275,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
ARR EGMD
Via GILTI",H24,To ensure traffic follows correct arrival routing,,,EG**ACC,
EG50246,ALAVA,GASKO,135,660,Yes,"ONLY AVBL FOR TFC
ARR EGNV
With RFL above FL245",23:59..06:00 (22:59..05:00) at ALAVA,Night DCT to allow more direct routeing,,,EG**ACC,
