Change Status,Point Type,FRA Point,FRA Point Latitude,FRA Point Longitude,FRA Name,FRA Status En-Route,FRA Status ARR/DEP,Arrival Airport(s),Departure Airport(s),FLOS,Level Availability,Time Availability,Airspace Location Indicators,Cross-Border FRA States,Remarks
,,ADADO,N501234,E0174453,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,LKAA,"Only for DEP EPKK, EPKT"
,,ADAMA,N475916,E0172029,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,-,D,,LOWW,-,5500 FT / FL245,H24,LHCC,LZBB,
,,ADAMI,N384217,E0105656,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,ADAXA,N561752,E0185354,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,-,,,-,FL095 / FL660,H24,EYVL,EVRR,
,,ADDER,N403126,E0201817,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LAAA,,
,,ADEXI,N372044,E0130131,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,D,,LICJ,-,FL195 / FL660,H24,LIRR,,
,,ADEXI,N372044,E0130131,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,LICD,"LMML,LICD",ODD/EVEN,FL195 / FL660,H24,LIRR,,
,,ADIDU,N543149,E0233803,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,-,A,EYKA,,-,FL095 / FL660,H24,EYVL,,
,,ADINA,N434812,E0303018,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,-,,,EVEN/ODD,FL195 / FL660,H24,LRBB,,
,,ADIPO,N350700,E0140500,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LMMM,,
,,ADISO,N453333,E0071736,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,ADLET,N483403,E0141757,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,"LOWL,LKCS",LKCS,-,LAL / FL660,H24,LOVV,LKAA,
,,ADMAS,N373344,E0175129,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,ADMEC,N470751,E0263448,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,"LRBC,LRSV","LRBC,LRSV",-,FL105 / FL660,H24,LRBB,,
,,ADNAN,N440026,E0180651,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL205 / FL660,H24,LQSB,,
,,ADOMO,N455816,E0143842,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,LAL / FL660,H24,LJLA,,
,,ADORU,N415218,E0263406,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,X,-,,,ODD,FL175 / FL660,H24,LBSR,LTBB,
,,ADOSA,N453840,E0110135,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,"LIPE,LIPH,LIPZ","LIPH,LIPO,LIPX,LIPZ",-,FL195 / FL660,H24,LIMM,,
,,ADOXO,N520611,E0193026,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,EPLL,EPLL,-,FL095 / FL660,H24,EPWW,,
,,ADREN,N385018,E0174409,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,ADRUX,N404552,E0093556,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,ADUKA,N383344,E0115703,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,ADUKU,N465526,E0220000,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL105 / FL660,H24,LRBB,,
,,ADULA,N451614,E0183831,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,LDOS,LDOS,-,FL205 / FL660,H24,LDZO,,
,,ADUNO,N420339,E0252708,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,"LBPD,LBSF",,-,FL175 / FL660,H24,LBSR,,
,,ADVAB,N520750,E0164338,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,"EDDB,EDDT",,-,FL095 / FL660,H24,EPWW,,
,,ADVER,N432520,E0225912,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,X,-,,,ODD,FL175 / FL245,H24,LBSR,,
,,ADVER,N432520,E0225912,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL245 / FL660,H24,LBSR,,
,,ADVEX,N502054,E0175211,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,
,,AFCAM,N415559,E0154651,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,LIBD,,-,FL195 / FL660,H24,LIBB,,
,,AGALU,N512817,E0172308,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,"LKKB,LKPR,LKVO",,-,FL095 / FL660,H24,EPWW,,
,,AGARI,N355753,E0153700,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,LMML,LMML,-,FL195 / FL660,H24,LMMM,,
,,AGASA,N554651,E0202611,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EYVL,,
,,AGAVA,N513453,E0195739,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,
,,AGISA,N394400,E0232054,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL305 / FL660,H24,LGGG,,
,,AGLIB,N450804,E0170912,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL205 / FL660,H24,LQSB,,
,,AGMEL,N464126,E0213416,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,LROD,LROD,-,FL105 / FL660,H24,LRBB,,
,,AGNAV,N493405,E0123652,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,E,-,,,-,FL095 / FL660,H24,LKAA,EDUU,
,,AGNEP,N452700,E0225735,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL105 / FL660,H24,LRBB,,
,,AGNIS,N394827,E0144503,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,D,,LIRN,-,FL195 / FL660,H24,LIRR,,
,,AGODU,N535640,E0160659,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,"EDDB,EDDT",,-,FL095 / FL660,H24,EPWW,,
,,AGOMO,N450101,E0124807,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,AGONA,N552400,E0203312,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,-,,,-,FL095 / FL660,H24,EYVL,UMKK,
,,AIOSA,N415542,E0171454,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,"LDDU,LIBD,LIBR","LIBD,LIBR",EVEN/ODD,FL205 / FL660,H24,LDZO,LIBB,
,,AIOSA,N415542,E0171454,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,AD,"LIBD,LIBR,LDDU","LIBD,LIBR",-,FL195 / FL205,H24,LIBB,LDZO,
,,AIOSA,N415542,E0171454,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,"LIBD,LIBR,LDDU","LIBD,LIBR",-,FL205 / FL660,H24,LIBB,LDZO,
,,AKADO,N452000,E0123000,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,AKAPI,N515512,E0162822,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,EPPO,,-,FL095 / FL660,H24,EPWW,,Only for ARR EPZG
,,AKASU,N460635,E0082944,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,E,A,"LIMC,LIMF",,-,FL195 / FL660,H24,LIMM,,
,,AKIKA,N423203,E0193614,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LAAA,LYBA,
,,AKIKA,N423203,E0193614,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL205 / FL660,H24,LAAA,LYBA,
,,AKIMA,N482447,E0131837,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,E,A,LOWL,,-,LAL / FL660,H24,EDMM,EDUU,
,,AKINA,N365849,E0261455,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL305 / FL660,H24,LGGG,,
,,AKLEF,N475538,E0252659,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,-,,,ODD/EVEN,FL105 / FL660,H24,LRBB,UKBU,
,,AKORO,N371236,E0242336,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL305 / FL660,H24,LGGG,,
