Change Status,Point Type,FRA Point,FRA Point Latitude,FRA Point Longitude,FRA Name,FRA Status En-Route,FRA Status ARR/DEP,Arrival Airport(s),Departure Airport(s),FLOS,Level Availability,Time Availability,Airspace Location Indicators,Cross-Border FRA States,Remarks
,,ODNEM,N485112,E0171004,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,-,,,-,FL095 / FL245,H24,LKAA,LZBB,
,,ODNEM,N485112,E0171004,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL245 / FL660,H24,LKAA,LZBB,
,,ODNEM,N485112,E0171004,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL245 / FL660,H24,LZBB,LKAA,
,,ODOMO,N495614,E0122038,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,E,-,,,-,FL095 / FL660,H24,EDUU,,
,,ODPAL,N503102,E0134628,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,-,D,,LKKV,-,FL095 / FL660,H24,LKAA,,
,,ODRAP,N494431,E0215028,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,
,,ODRAS,N413335,E0201027,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,LATI,LATI,-,FL195 / FL660,H24,LAAA,,
,,ODRUX,N514156,E0212148,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,
,,ODSOB,N502310,E0190156,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,Only for DEP EPWR
,,ODUNI,N543513,E0232525,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EYVL,,
,,OFEDE,N540247,E0232002,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,
,,OFROZ,N461844,E0150021,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,-,A,LJLJ,,-,LAL / FL660,H24,LJLA,,
,,OFZUD,N412243,E0160941,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIBB,,
,,OGAPU,N440930,E0113314,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,OGATA,N444846,E0300751,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,E,-,,,EVEN,FL105 / FL660,H24,LRBB,UKBU,
,,OGDAS,N494208,E0175837,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,LKAA,,
,,OGDAV,N544807,E0175954,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,EPGD,,-,FL095 / FL660,H24,EPWW,,
,,OGLAK,N435900,E0102616,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,OGODI,N455829,E0135344,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,LAL / FL660,H24,LJLA,,
,,OGOTA,N431251,E0231936,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL245 / FL660,H24,LBSR,,
,,OGOVU,N390900,E0080635,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,OGPUD,N443659,E0110106,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,OGRES,N540038,E0170055,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,Only for DEP EPWR
,,OGVET,N505300,E0222840,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,EPLB,,-,FL095 / FL660,H24,EPWW,,
,,OGVUN,N472306,E0175120,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,LHPA,LHPA,-,FL095 / FL660,H24,LHCC,,
,,OKANA,N425047,E0222935,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,X,-,,,EVEN,FL175 / FL660,H24,LBSR,LYBA,
,,OKANA,N425047,E0222935,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,E,-,,,EVEN,FL205 / FL660,H24,LYBA,LBSR,
,,OKBIS,N430008,E0115832,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,OKDEB,N415434,E0130541,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,OKENO,N513411,E0183538,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,"EPMO,EPWA,EPRA",,-,FL095 / FL660,H24,EPWW,,
,VORDME,OKF,N485809,E0153244,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,-,AD,LKNA,LKNA,-,FL095 / FL660,H24,LKAA,,
,VORDME,OKG,N500355,E0122421,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,AD,LKKV,"LKKB, LKKV,LKPR, LKVO",-,FL095 / FL660,H24,LKAA,,
,,OKIDO,N404950,E0094926,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,OKIMO,N405602,E0180251,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIBB,,
,,OKIVA,N412000,E0090623,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,-,D,,LIEO,-,FL195 / FL660,H24,LIRR,LFFF,
,VORDME,OKL,N500545,E0141556,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL165 / FL660,H24,LKAA,,
,,OKLAX,N435203,E0160234,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL205 / FL660,H24,LDZO,,
,,OKLIV,N471618,E0233121,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,AD,LRBM,LRBM,EVEN/ODD,FL105 / FL175,H24,LRBB,,
,,OKLIV,N471618,E0233121,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,LRBM,LRBM,-,FL175 / FL660,H24,LRBB,,
,,OKLOP,N441100,E0211954,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL205 / FL660,H24,LYBA,,
,,OKMAP,N440253,E0111856,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,OKORA,N464559,E0182217,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,LHCC,,
,NDB,OKR,N481326,E0171725,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,-,A,"LOAN, LOAV",,-,FL245 / FL660,H24,LZBB,,
,,OKSIG,N445013,E0170011,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL205 / FL660,H24,LQSB,,
,,OKSIL,N542745,E0184220,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,
,,OKSOV,N544129,E0181949,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,
,,OKTAV,N441708,E0105338,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,OKUNO,N420626,E0125821,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,OLATI,N465914,E0172845,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,LHCC,,
,,OLBEK,N411532,E0095114,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,OLETI,N434836,E0090031,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,LIML,,-,FL195 / FL660,H24,LIMM,,
,,OLEZE,N460621,E0151852,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,-,AD,LJCE,LJCE,-,LAL / FL660,H24,LJLA,,
,,OLGAT,N401441,E0190000,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,X,-,,,-,FL305 / FL660,H24,LGGG,LIBB,
,,OLGAT,N401441,E0190000,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,E,-,,,EVEN,FL195 / FL660,H24,LIBB,LGGG,
,,OLILA,N524216,E0201942,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,
,,OLKIN,N534609,E0203000,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,
,,OLKIS,N435533,E0102213,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,OLLEK,N363000,E0143512,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,D,,LMML,-,FL195 / FL660,H24,LIRR,LMMM,
,,OLLEK,N363000,E0143512,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,LMMM,
,,OLMAX,N342000,E0180750,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,E,-,,,EVEN,FL195 / FL660,H24,LMMM,HLLL,
,,OLMIP,N460243,E0222212,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL175 / FL660,H24,LRBB,,
,,OLNED,N530957,E0163739,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,
,,OLNUK,N442300,E0103256,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,OLOTA,N421348,E0213700,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,E,-,,,ODD,FL205 / FL660,H24,LWSS,LYBA,
,,OLOTA,N421348,E0213700,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,E,-,,,ODD,FL205 / FL660,H24,LYBA,LWSS,
,,OLPIX,N470102,E0114125,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,E,-,,,-,FL195 / FL660,H24,LOVV,,
,,OLUMA,N515348,E0154522,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,
,,OMAKU,N440848,E0112311,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,D,,LIRQ,-,FL195 / FL660,H24,LIMM,,
,,OMAMI,N415853,E0261838,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL175 / FL660,H24,LBSR,,
,,OMAVA,N512302,E0214117,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,D,,EPRA,-,FL095 / FL660,H24,EPWW,,
,,OMELO,N505016,E0140003,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,E,-,,,-,FL095 / FL660,H24,EDUU,,
,,OMENI,N360226,E0113000,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,AD,LMML,LMML,ODD/EVEN,FL195 / FL660,H24,LMMM,DTTC,
,,OMENO,N421749,E0232853,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,E,D,,LBSF,ODD,FL175 / FL245,H24,LBSR,,
,,OMENO,N421749,E0232853,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,D,,LBSF,-,FL245 / FL660,H24,LBSR,,
,,OMETO,N454412,E0080234,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,D,,LSZA,-,FL195 / FL660,H24,LIMM,,
,,OMFOL,N502704,E0174910,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,
,,OMIFU,N500100,E0155809,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,LKAA,,
,,OMISU,N454800,E0213612,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL175 / FL660,H24,LRBB,,
,VORDME,OPT,N443533,E0263337,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL175 / FL660,H24,LRBB,,
,NDB,ORA,N470601,E0215527,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL105 / FL660,H24,LRBB,,
,,ORAKA,N423213,E0171202,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,"LDSP,LDSB,LDDU",LDSP,-,FL205 / FL660,H24,LDZO,,
,,ORBUZ,N522927,E0212618,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,
,,ORRIH,N410836,E0203519,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LAAA,LWSS,
,,ORRIH,N410836,E0203519,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL205 / FL660,H24,LWSS,LAAA,
,,ORTAP,N363000,E0182000,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,LMMM,
,,ORTAP,N363000,E0182000,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,ODD/EVEN,FL195 / FL660,H24,LMMM,LIRR,
,,ORTEB,N500608,E0203411,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,"EPMO,EPWA",,-,FL095 / FL660,H24,EPWW,,
,,ORTIP,N435840,E0251959,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL175 / FL660,H24,LRBB,,
,,ORTYN,N491837,E0191356,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL245 / FL660,H24,LZBB,,
,,ORVAT,N432948,E0171256,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL205 / FL660,H24,LDZO,LQSB,
,,ORVEX,N404037,E0085202,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,ORXIK,N470907,E0221443,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL105 / FL660,H24,LRBB,,
,,ORZIK,N550130,E0230433,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EYVL,,
,,OSBUG,N500800,E0210052,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,
,,OSBUL,N444920,E0101736,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,"LIPO,LIPX","LIPE,LIPO,LIPX,LIRP,LSZA",-,FL195 / FL660,H24,LIMM,,
,,OSDAX,N412129,E0163435,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIBB,,
,,OSDES,N382142,E0205534,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL305 / FL660,H24,LGGG,,
,,OSDET,N374553,E0113858,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,OSDOR,N445835,E0300300,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,X,-,,,EVEN,FL105 / FL660,H24,LRBB,UKBU,
,,OSDUK,N454715,E0180801,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,E,-,,,ODD,FL205 / FL660,H24,LDZO,LHCC,
,,OSDUK,N454715,E0180801,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,X,D,,LHBP,-,FL095 / FL660,H24,LHCC,LDZO,
,,OSKEX,N510522,E0173411,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,Only for ARR EPPO
,,OSKOR,N453857,E0100700,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,"LIMJ,LIML,LIPO","LIMF,LIMJ,LIPO",-,FL195 / FL660,H24,LIMM,,
,,OSKUD,N534303,E0194543,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,
,,OSLEN,N464336,E0202145,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,-,A,LHKE,,-,FL095 / FL660,H24,LHCC,,
,,OSLOG,N534557,E0184513,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,EPGD,,-,FL095 / FL660,H24,EPWW,,
,,OSLOP,N453825,E0131037,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,OSLUD,N432838,E0184714,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL205 / FL660,H24,LQSB,,
,,OSMAR,N381517,E0094714,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,-,,,-,FL195 / FL660,H24,LIRR,DTTC,
,,OSMAT,N501434,E0230244,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,
,,OSMEB,N450713,E0104614,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,OSMOV,N535308,E0172855,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,Only for ARR EPGD
,,OSMOX,N435014,E0105447,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,OSPEN,N472907,E0153139,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,D,,LOWW,-,LAL / FL660,H24,LOVV,,
,VORDME,OST,N414814,E0121415,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,OSTAL,N441641,E0264622,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,X,A,"LRBS,LROP",,EVEN,FL105 / FL175,H24,LRBB,,
,,OSTAL,N441641,E0264622,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,"LRBS,LROP",,-,FL175 / FL660,H24,LRBB,,
,,OSTEG,N451043,E0110820,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,OSTEX,N420937,E0265722,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL175 / FL660,H24,LBSR,,
,,OSTOV,N434700,E0234800,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,X,-,,,ODD,FL165 / FL175,H24,LRBB,LBSR,
,,OSTOV,N434700,E0234800,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL175 / FL660,H24,LRBB,LBSR,
,,OSVIX,N441932,E0211444,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,LYBE,,-,FL205 / FL660,H24,LYBA,,
,,OSVOP,N421531,E0270527,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL175 / FL660,H24,LBSR,,
,,OTFOX,N453709,E0134201,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,LAL / FL660,H24,LJLA,LIMM,
,,OTGIG,N445959,E0120705,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,OTHON,N342724,E0300000,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL305 / FL660,H24,LGGG,LCCC,
,,OTKEK,N452204,E0103850,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,D,,LIMC,-,FL195 / FL660,H24,LIMM,,
,,OTKOK,N415958,E0240045,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL175 / FL660,H24,LBSR,,
,,OTMAX,N530523,E0211142,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,Only for DEP EPSY
,,OTMOH,N454515,E0145614,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,-,D,,LJCE,-,LAL / FL660,H24,LJLA,,
,,OTMUV,N441141,E0090317,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,OTNAV,N545533,E0244036,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EYVL,,
,,OTNUN,N441449,E0111648,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,OTPER,N430236,E0253148,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL175 / FL660,H24,LBSR,,
,,OTPES,N532622,E0202057,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,
,,OTRET,N424140,E0140136,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIBB,,
,,OTREX,N350916,E0245620,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL305 / FL660,H24,LGGG,,
,,OTRIV,N540949,E0221152,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EPWW,,
,,OTVOV,N552828,E0201730,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,-,,,-,FL095 / FL660,H24,EYVL,UMKK,
,,OVBOR,N510615,E0200109,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,D,,"EPKK,EPKT",-,FL095 / FL660,H24,EPWW,,
,,OVDOT,N443220,E0225837,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,LRCV,,-,FL105 / FL660,H24,LRBB,,
,,OVVER,N403230,E0200046,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LAAA,,
,VORDME,OZE,N462419,E0111732,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,PADGU,N444643,E0223638,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL105 / FL660,H24,LRBB,,
,,PADKA,N495602,E0181700,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,-,,,-,FL095 / FL285,H24,LKAA,EPWW,
,,PADKA,N495602,E0181700,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL285 / FL660,H24,LKAA,EPWW,
,,PADKA,N495602,E0181700,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL285 / FL660,H24,EPWW,LKAA,
,,PAFRA,N541826,E0235450,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,EYVL,,
,VORDME,PAL,N380201,E0131039,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,LICB,LICC,-,FL195 / FL660,H24,LIRR,,
 ,,PALEZ,N443430,E0153159,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,D,,LDZD,-,FL205 / FL660,H24,LDZO,,
,VORDME,PAN,N364852,E0115757,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,VORDME,PAN,N364852,E0115757,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,"LICD,LMML","LICD,LMML",ODD/EVEN,FL195 / FL660,H24,LMMM,,
,,PANZU,N440212,E0240813,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL105 / FL660,H24,LRBB,,
,,PAPIZ,N405330,E0185706,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,D,,LATI,ODD/EVEN,FL195 / FL660,H24,LAAA,LIBB,
,,PAPIZ,N405330,E0185706,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,"LIBD,LIBR","LIBD,LIBR",EVEN/ODD,FL195 / FL660,H24,LIBB,LAAA,
,,PARAK,N460950,E0200539,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,A,LHBP,,EVEN/ODD,FL095 / FL660,H24,LHCC,LYBA,
,,PARAK,N460950,E0200539,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,-,,,ODD/EVEN,FL205 / FL660,H24,LYBA,LHCC,
,,PASKA,N472003,E0262954,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL105 / FL660,H24,LRBB,,
,,PATAK,N480423,E0190738,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,X,-,,,EVEN,FL095 / FL245,H24,LHCC,LZBB,
,,PATAK,N480423,E0190738,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL245 / FL660,H24,LHCC,LZBB,
,,PATAK,N480423,E0190738,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,"LZIB,LZPP",,-,FL245 / FL660,H24,LZBB,LHCC,
